Word,Part of Speech,Definition,Grammar information:
ákaluh,verb,"to listen, to hear",intransitive
akammeh,verb,"to close (a door, a book, the eyes), to stop up",transitive
ákamuh,verb,"to set, harden, stiffen, congeal (of glue, grease, etc.)",intransitive
ákanéme',noun,"place where something is happening: an event, a happening",
ákanip,noun,"body, trunk of the body",
ákanip atcúkumah,verb,to be healthy,stative
ákanip funi',noun,"bones of the body, skeleton",
ákapassale',noun,refrigerator,
Ákas,noun,August,
ákatãle',noun,"tight place, narrow space",
akãtaleh,verb,"to press against (the back of a chair, etc.), press (in a vice, etc.), to tighten (a jar, etc.)",intransitive
ákãtce',noun,"place where one sells things, a store, farmer's market, etc.",
akãtalétceh,verb,"to press (something), tighten",transitive
akélawátceh,verb,"to belch, burp, have heartburn (sp. var. akélawatce)",stative
ãkha',noun,wild goose,
akka',noun,down,
akka' emma',noun,downward,
akka' pellah,verb,"to be very low (of a car, place, etc.), bass (of a voice)",stative
akkãluseh,verb,"to be low (of a shelf, an airplane, a voice, or someones spirit), humbled, abased",stative
akkatceh,verb,"to knock down, bring down, take down",transitive
akkatcunnih,verb,to nod (the head) several times (older word),intransitive
akkatcunúleh,verb,to bow (the head) down (as with resignation),intransitive
akkestala',noun,"the bottom, base (of a tree), etc.), lower part, lower end",
akkuah,verb,"to go down (stairs), descend, climb down, step down, get down (from a wagon), get out (from a car), dismount, alight","intransitive, transitive"
akkuátceh,verb,"to drop (someone) off, let (a child, or cat, etc.) down (from the arms), land (an airplane)",transitive
aklhupes,noun,"hull, bran, chaff",
akseh,verb,"to be drunk, intoxicated, stunned, disoriented, confused, cunning, wicked, evil, deceitful; to be deaf",stative
akses,noun,"root; vein; nerve; tendon, sinew; muscle",
aksetceh,verb,"to trick, cheat, deceive, get (someone) drunk, confuse (someone)",transitive
aksubah,verb,"to be noisy, loud",stative
aksubáleh,verb,"to make noise, make a racket (by screaming, talking, playing, etc.), be noisy, loud",transitive
aksubes,noun,ear,
aksubes anũka',noun,inner ear,
aksubes dakále',noun,earring,
aksubes estlapátce,noun,ear plug,
aksubes faláya',noun,"animal with long ears: mule, donkey, jackrabbit, hound dog",
aksubes uttupa',noun,earache,
aksubes waluhbe',noun,the lobe or soft part of the ear,
aksup,noun,"skin, outer surface; leather, hide; bark (on a tree), peel (on an orange), pod, husk (on an ear of corn); shell (on an egg or turtle)",
aksutce',noun,memorial service (also ayaksutce),
Aksutce' Nittak,noun,Memorial Day (new word),
aktãpe',noun,armpit,Class II possession
aktcalhpe',noun,dry bark (used for kindling) (also tcalhpe),
aktcubelhépah,verb," to bow down, become prostrate, to kneel, bow or bend at the knee","intransitive, singular"
aktcubelhkah,verb,"(plural) to bow down, become prostrate, to kneel, bow or bend at the knee",intransitive
aktcuma',noun,tobacco,
aktcuma' ásũka',noun,tobacco pipe,
aktcuma' buta',noun,snuff,
aktcuma' sũka',noun,"smoker, person who smokes",
aktcuma' ulba',noun,mullein,
aktcuma' upãsa',noun,"chewing tobacco
People used to put chewing tobacco on bee stings and wasp stings",
aktcupelhkape',noun,dogwood tree (also aktcupelhku),
Aktúba',noun,October,
ákulúfa',noun,"place where something has been cut off, separated",
ákuluffeh,verb,"to cut off at or from (medication, insurance, etc.)",transitive
akustenih,verb,"to sense, be aware of",intransitive
akustenítceh,verb,"to find out, discover, discern, come to understand, realize",transitive
ákutctcah,verb,to come out from (a place),intransitive
ákutctcaka',noun,"outside of, out from",
ákutctcawéleh,verb,"to take out from, subtract",transitive
ákutctceh,verb,"to take out of, take out from",transitive
alãbesa',noun,bat (the animal),
alãbeya',noun,five-lined skink (a common lizard having a blue tail when young); scorpion (in the Bible),
alah,verb,(one) to arrive here,"intransitive, singular, short verb"
aláhaleh,verb,"to twitch (of the eye, etc.), jerk, have a spasm",transitive
alákanah,verb,"turned yellow, ripened, rusted",stative
alákanátce,verb,to rust (of metal),transitive
álaksa',noun,"sweatlodge, sauna",
alalleh,verb,to keep; to occupy; to own; to preserve; to pull (something),transitive
alalletceh,verb,"to make (a team of horses, etc.) pull",transitive
álamu,verb,trimmed; cut; picked; pulled; mown; reaped; clipped; cropped; sheared; shorn,stative
alãpa',noun,ringworm,
alasbeh,verb,"to be smooth, slick, slippery (of a floor, etc.)",stative
álasbétce',noun,place where one irons: an ironing board,
alasbetceh,verb,"to make (something) smooth or slick, iron (a shirt, etc.)",transitive
álaspaka',noun,place with no shade,
aláta',noun,"something coming together side by side or on top of: the lining of a quilt or coat, insulation of a house, a layer (of clothing), covering",
alba',noun,"firefly, lightning bug; matter discharge from an eye",
albabeh,verb,"crusted, matted (of infected eyes)",stative
albanih,verb,barbecued,stative
albena',noun,"gift, present",
albuh,verb,"to be adhering, sticking",intransitive
álebésa',noun,"warming place, a place to warm",
alektce',noun,doctor (either in the sense of a physician or a traditional medicine maker),
alektceh,verb,"to doctor, administer medical treatment",transitive
aléleh,verb,"to brush (the arm, head, elbow, etc.) against (something), touch (without using the hands); to catch (a cold or other infectious disease)",transitive
alhe',noun,"edge, border, boundary, side (of a road), end;
to be in the last stages",
ãlheh,verb,"to be true, real, honest",stative
alhéha',noun,word appearing after an animate noun and indicating a plural,
alhépa',noun,a drum,
alhépa' use',noun,"a fiddle, violin, stringed instrument (also alhepa)",
alhkamah,verb,"to close (of a door, etc.)",intransitive
alhkatah,verb,"patched, mended",stative
alhlheh,verb,"to kick, kick out (the leg), stamp, kick more than once (of a baby in the womb)",transitive
alhpanákaluh,verb,to be heard,stative
alhpé^sah,verb,"to be just, absolutely right, proper, to be just enough, to be honest",stative
alhpé^satceh,verb,"to correct, justify",transitive
alhpesa',noun,"measurement, decision, judgement",
alhpesah,verb,"1. to be measured, to be scheduled (of a meeting, etc.), decided, decreed, enacted
2. to do or be right","1. stative
2. intransitive"
alhpésah,verb,"to be okay, all right, well",stative
alhpesátceh,verb,"to discipline (a child, student, etc.)",transitive
alhpesse',noun,pillow,
alhpesse' ẽsuktca',noun,pillowcase,
alhpetah,verb,"caged, penned (as is done to fatten a hog)",stative
alhpetcek,noun,nest,
alhpuah,verb,"to be born (of a child, etc), to be domesticated, raised (of a plant), tamed, espoused",stative
alhpusah,verb,roasted,stative
alhtahah,verb,"to be ready (of food, etc.), finished, ready; prepared; done; finished; completed; complete; consummated; expert; fitted; forward; furnished; matured; ripened",stative
alhtákala',noun,orphan,
alhtákala' áyása',noun,orphanage,
alhtákalah,verb,"to be orphaned, abandoned, bereft, having lost a spouse",stative
alhtepu',noun,"tent, cover, tarp (also alhlepu)",
alhtuba',noun,"the cost (of something), price",
alhtubah,verb,to be paid; refunded; remunerated; rewarded; paid; recompensed; avenged; revenged; atoned; compensated; defrayed; exchanged; expiated; liquidated,stative
alhtũbah,verb,"to stand in for (someone), substitute for, serve as a proxy for",intransitive
alhtuh,verb,(two or more) to get inside of (something),"intransitive, plural"
alhtukah,verb,"to be selected, elected, appointed",stative
alla apestekéle,noun,pedophile,
alla',noun,"young person, child (from a toddler to about the age of 10 or 11)",
alla' alhtákala',noun,"orphan, orphaned child",
alla' apésatce',noun,baby sitter,
alla' duba',noun,adopted child,
alla' ẽdupa',noun,child's bed,
alla' emetta',noun,"young person, youth, a teenager",
alla' emetthua',noun,"young people, youths",
alla' nákani',noun,boy,
alla' sále',noun,"something that transports children: school bus, etc.",
alla' ũkupa',noun,kidnapper,(new word)
alla' ulba',noun,doll,
alla' use',noun,toddler,
alla' use' núat daha',noun,toddler who can walk,
allũs,noun,leech,
allũse ek attu kẽsa,noun,an unborn baby (also allũse ek attu kũsa),
allũse',noun,"infant, newborn, baby (until a toddler)",
allũse' ẽdupa',noun,"crib, cradle, child's bed",
álúheme',noun,place where something is hidden,
álumãka',noun,"secret place, hiding place",
aluppah,verb,"to be sharp (of a knife, etc.)",stative
alútah,verb,"to be full, filled",stative
alútuleh,verb,"to fill (a container), load (something)",transitive
alwasah,verb,fried,stative
amme',noun,pro. mine,
ammúnah,noun,the first,
amuh,verb,"to harvest, pick (berries, etc); to mow","transitive, plural, short verb"
amúkafah,verb,"to attack (someone) verbally or physically, struggle against, take on (a task, etc.)",transitive
anahtceh,verb,"to hop on one foot, skip",intransitive
anaksuah,verb,"singed, scorched, toasted
to be singed (of a squirrel, etc.), scorched, toasted (also ""anuksuha,"" ""anuksuwa"")",stative
anaksúheleh,verb,"to singe (a squirrel, etc), scorch, toast (also anuksule)",transitive
anále',noun,leg,
analhlhetceh,verb,"to nail on, nail to, fasten with a nail",transitive
ani',noun,"fruit, nut, berry, new growth on a plant",
anih,verb,"1. to put (something) in, pour into
2. to bear (of a plant) fruit, produce fruit or seeds","1. transitive
2. intransitive"
anítce',noun,pus,
anĩtcetce',noun,pus sore,
anná^leh,verb,num. six,intransitive
annanũkeh,verb,"to spin around (of a child, etc.), whirl around",intransitive
annuah,verb,"told, informed",stative
annuátceh,verb,"to announce, proclaim, tell, inform",transitive
anu',noun,"pro. I, me",
ánúa',noun,"place where one walks, a trail, path, tracks, course",
anũka',noun,"p. inside, in",
anukdúkuluh,verb,"to be confused, disoriented, be hesitant, uncertain, doubt, be at a loss",stative
anukfela',noun,mind,
anukfelleh,verb,"to think, reflect, meditate",transitive
anukfukkah,verb,to understand; to remember,intransitive
anukfukketceh,verb,"to make (a learner) understand, enlighten, impart knowledge",transitive
anuklhamalleh,verb,to choke on (a liquid),intransitive
anukpeleffeh,verb,"to turn (clothes, etc.) inside out",transitive
anuksetéle,verb,"to hang (someone) by the neck, execute by hanging",transitive
anuktcétuh,verb,to be dependent on,transitive
anúleh,verb,"to tell, report, publish, procliam",transitive
anũpa',noun,"word, speech, statement; language; news; message (sp. var. annumpa)",
anũpa' alhpesa',noun,law,
anũpa' dusúle',noun,"translator, interpreter",
anũpa' elbassa',noun,prayer,
anũpa' faláma',noun,"response, answer, reply",
anũpa' kallu',noun,law; command; oath,
Anũpa' Lumãka' Anũpule',noun,Code Talker (new word),
anũpule',noun,speaker,
anũpuleh,verb,"to talk, speak",intransitive
ánuse',noun,"place to sleep: hotel, motel, bed, roost, den, etc",
apah,verb,to eat (a food),transitive
apakfubleh,verb," to wrap around (as a snake), enclose, surround, go around","transitive, singular"
apakfúheleh,verb," to surround (something), go around, bypass, evade, shun, encircle","transitive, plural"
apakfúpah,verb,"to be wrapped around, enclosed, surrounded",stative
ápalaska,noun,"place where anything is baked: oven, baking pan, etc.",
apátah,verb," beside
to be next to (someone)","intransitive, singular"
ápatalhpu',noun,"mattress, cushion",
ape',noun,"trunk (of a tree), stem (of a plant), stalk; tree (in compounds)",
ápe',noun,salt,
ápe' áyalhtu',noun,"salt container, salt shaker",
ápe' tcãpule',noun,sugar (People used to make a paste of sugar and kerosene and would put it on a bad cut to coagulate the blood.),
ápe' tcãpule' ata',noun,white sugar,
ápe' tcãpule' áyalhtu',noun,"sugar container, sugar bowl",
ápe' tcãpule' estabéka',noun,diabetes (new word),
ápe' uke',noun,"salt water, brine solution",
ápe' uke' ettebalhtu',noun,"salt and water mixture, brine",
apéhelétceka',noun,"a place that is ruled: kingdom (in the Bible), diocese, etc.",
apélah,verb,to help,transitive
apéleh,verb,"1) to bring, sweep, or scrape together, as if to make a nest",transitive
apemme',noun,"all of ours, belonging to all of us",
ápesa',noun,mirror,
apésah,verb,"to measure (something), judge, decide, rule; to plan; to command, decree, place an order",transitive
apésatce',noun,"observer, caretaker, nurse, guard",
apésatceh,verb,"to guard, oversee, watch, watch over, look after, care for (someone)",transitive
apesnu',noun,all of us,
apessah,verb,"to be straight (of a tree, board, road, hair, etc.)",stative
apessaleh,verb,"to striaghten (a piece of metal, a road, etc)",transitive
apesseya',noun,porch (also apuseya),
apestekéleh,verb,"to watch over, observe, tease, pester, bother, tend to (someone)",transitive
apettah,verb,"to put (two or more) into, pour (a liquid, etc.); to corral (animals), pen (hogs, etc.), enclose","transitive, plural"
ãpu' ádalúha',noun,cupboard,
ãpu' áyása',noun,cupboard,
ãpu' use',noun,"small saucer, bowl",
apúah,verb,"to give birth to (a child), bear (of a woman or animal), domesticate (animal or tree), tame",transitive
apúatce',noun,"one who helps to give birth, midwife",
apúatceh,verb,"to grow (a plant), raise (animals), to deliver (a baby)",transitive
"apuksáma, apuksamma",noun,"diaper, breechcloth (older var. apukseyama)",
apuksãmah,verb,to have (a diaper or breechcloth) on,stative
apuksammeh,verb,to put on (a diaper or breechcloth),transitive
apuksammetceh,verb,"to put (a diaper) on (a baby, etc.)",transitive
apukseyah,verb,"to fix, repair, prepare (a cake, etc.)",transitive
apukseyátce',noun,"one who fixes things, a repairman, etc.",
apukseyátceh,verb,"to fix, reconcile, regulate, repair, adjust",transitive
apúkufah,verb,"to bump into, collde with, run into",transitive
apullu,noun,"buttocks, rump, butt (also upullu)",
ápulusleh,verb,"to smear on (a salve), daub (mud, etc.)",transitive
apúnákalu,verb,"to listen up, pay attention, hark",intransitive
apusleh,verb,"to roast (beef, etc. in an oven), toast (bread on the stove)",transitive
apútah,verb," to lie at the side, alongside","intransitive, plural"
apútaka',noun,"beside, next to; the side (of a house, etc.)",
ásah,verb,(three or more) to live (in one place),"intransitive, triplural"
ãsaka',noun,"behind, in back of",
asánah,verb,locked,stative
asannih,verb,"to lock (a door, etc.)",transitive
asátceh,verb,"to place (three or more cups, balls, etc. in a place), store, put away, put up","transitive, triplural"
asáyah,verb,"to have hurt feelings, be a little mad, upset, miffed, sulky, pouty",stative
asẽbes,noun,tail,
asẽbes dapa',noun,bobbed tail,
asékunúpa',noun,knot,
asékunũpah,verb,"tangle (of string, etc.), twisted (of wire, etc.)",stative
aséla',noun,corn meal mush,
ásẽla',noun,"dry area, dry spot",
asélah,verb,"to be thickened (as of gravy), congealed",stative
aséleh,verb,"to simmer down, thicken (gravy, etc.)",intransitive
aselhhah,verb,"to ask, request, beg, beseech","transitive, for begging ""someone"", the someone uses Class III"
aseppah,verb,"boiled down, evaporated, dried up",stative
assanu',noun,adult,
assanuh,verb,"to be mature, full-grown, adult",stative
assanuh,verb,"mature;
to be elderly",stative
assatce',noun,sinner,
assatceh,verb,"to sin, offend, stray, do wrong, be sinful",intransitive
astap,noun,"fallen leaves, dead leaves",
astula',noun,Winter,
astulahpe',noun,"Fall, Autumn",
ásubéhelétce',noun,place where one smokes (meat): smokehouse,
asuk,noun,"grass, hay",
asuk áyálamu',noun,hay field,
asuk estpeha',noun,"pitchfork, rake",
asúnak,noun,"brass kettle, bucket",
asúnak lákana',noun,brass or copper bucket,
atãbes,noun,"navel, belly button (also etãbes)",Class II possession
atãffu',noun,hail,
atah,verb,"to be pale (of a person, color, etc), faded (of a dress, etc), bleached, off-white, gray, white",stative
atak,noun,"person, a human, human kind; a man (newer use) (sp. var. atak)",
atak abe',noun,"murderer, killer; manslaughter",
atak alhéha',noun,"human kind, humanity",
atak alhtákala',noun,widower,
atak Ape' Uma',noun,"Native American, American Indian, First Nations",
atak assanu',noun,adult man,
atak assanútce',noun,"old man, elderly person",
atak ekalé^lu',noun,"virgin, one who has not touched a man",
atak elbassa',noun,poor man,
atak elle',noun,"corpse, dead person, human remains",
atak emetta',noun,young man,
atak emetthua',noun,young men,
atak enákbánu',noun,single man,
atak funi',noun,"human bones, skeleton",
atak kusténi',noun,wise or sensible man,
atak lúsa',noun,"black person, African American",
atak mu^uma',noun,"everyone, all people",
atak nánapésa',noun,"law maker: a council member, a judge, etc.",
atak nánassatce',noun,sinner (in the Bible),
atak nánekhana',noun,"educated person: lawyer, attorney, etc.",
atak sále',noun,"someone or something that transports people: shuttle, shuttle driver, cab driver, taxi, bus, van, car",
atak sawe',noun,"ape, monkey",
atak sepúkeni',noun,old man,
atak ubak,noun,"castrated man, eunuch",
atak uhpe',noun,"funeral, burial, interment (also attak uppe)",
atak ukesku',noun,"drunkard, drunk",
atak úkula',noun,"people, mankind, humanity",
atak ulétupa',noun,wealthy person,
atak ulhtena',noun,census,
atak upuksa',noun,"wise person (also attak upuyyuksa, attak upukseya)",
atak Use',noun,the Son of Man,
atak yuka',noun,"prisoner, captive, slave",
atak yusuble',noun,snail,
atákalámah,verb,"to be troubled, detained",stative
atákalammeh,verb,"to bother, trouble, interfere, prevent",transitive
atápusek,noun,butterfly,
atayyah,verb,"to lean against (of a ladder, etc.)",intransitive
atayyatceh,verb,"to lean (something) against, make (something) rest against",transitive
atca',noun,river (older term),
atcã^kah,verb,"to be attached (of a room, etc.), succeeding","stative, N Grade"
atcáfuah,verb,"to be a few, a scattering, rare",intransitive
atcákah,verb,"spliced, connected, attached",stative
atcákaleh,verb,"to continue, advance",intransitive
atcákaleh,verb,"to add on to, connect, splice, lengthen",transitive
atcákalétceh,verb,"to cause to continue, cause to advance",transitive
atcákalétceh,verb,"to add on, join to",transitive
atcáyah,verb,to be accustomed (usually preceded by a form of em),intransitive
ãtce',noun,"bedclothes, quilt, cover, cloak, shawl",
ãtce' aláta',noun,quilt lining,
ãtce' ettalhkata',noun,"pieced quilt, patchwork",
atcéfah,verb,to wash (something),transitive
átceh,verb,"to say, to make (a sound)",intransitive
ãtceh,verb,"to cover up (with a blanket, robe, shawl, etc.)",intransitive
atcek,noun,"satchel, small bag, piece of luggage",
atcemmeh,verb,pro. (all of) yours (used in speaking to more than one person),stative
atcesnu',noun,"pro. you (plural), you all",
ãtcetceh,verb,"to put (a blanket, robe, cloak, etc.) on (someone else), cover (another) with (a shawl, etc.)",transitive
átcukkúa',noun,"entrance, passageway, gate",
átcukkuah,verb,"to enter from, enter through","intransitive, loc."
atcúkumah,verb,"good, nice, excellent, pleasant (of one);
to be good, nice (of one)","stative, singular"
atcúkumakeyuh,verb,"to be spoiled, rotten, bad, no good ( of food, a person, etc.)","stative, atcúkuma + keyu"
atcúkumáleh,verb,"to improve, make better, heal (someone or something), rectify, mend, do (something) well",transitive
atcúkumáletceh,verb,"to improve (something), make (something) good",transitive
atcũleh,verb,"to sew, stitch, tack (together)",transitive
atculhkãpule',noun,"cobweb, spider web (also tculhkãpule)",
atcútákani',noun,loggerhead turtle,
atébleh,verb,to press or push down with pressure (as to stop a cut from bleeding),Intrasitive
atep,noun,hip,
attah,verb,"to live (in a place), dwell","intransitive, singular"
atũbaláha',noun,beech tree,
atubbe',noun,"payment, renumeration, revenge, payer, rewarder, avenger, retaliator",
atubbeh,verb,"pay, recompense, reward, avenge, retaliate",transitive
atũfaláha nuksúpa',noun,wild onions,
atũfaláha',noun,"onion (also atũfaláha, tũfaláha)",
atúhunútceh,verb,"to urge, encourage, or authorize someone to do something",transitive
atúkulátceh,verb,"to do twice, double",transitive
atúkuleh,verb,"to select, vote, elect, appoint, nominate",transitive
atũlákanah,verb,"brown colored, having a scorched color",stative
atúni',noun,"guard, a watchman",
atúnih,verb,"to watch over, guard, mind",transitive
aue',noun,prostitute; lewdness,
ãwa',noun,"small type of locust, cicada",
áwah,verb,to yawn,intransitive
awah anná^leh,verb,num. sixteen (sp. var. auah annále),intransitive
awah dalhlhá^peh,verb,num. fifteen (sp. var. auah dalhape),intransitive
awah dúkuluh,verb,num. twelve (sp. var. auah tukulu),intransitive
awah dutctcé^nuh,verb,num. thirteen (sp. var. auah dutcéna),intransitive
awah tcaffah,verb,num. eleven (sp. var. auah atcaffa),intransitive
awah ũdúkuluh,verb,num. seventeen (sp. var. auah ũtukulu),intransitive
awah ũdutctcé^nuh,verb,num. eighteen (sp. var. auah ũtutcéna),intransitive
awah ustah,verb,num. fourteen (sp. var. auah usta),intransitive
awaskuh,verb,"to be sour (of milk), rancid, tart, acidic, spoiled (of meat, etc), fermented",stative
awasleh,verb,"to fry (chicken, etc.)",transitive
áwasúha',noun,"place where one plays: a playground, theater, stage, etc.",
awátah,verb,"to be wide, broad (of a road, etc.)",stative
áwéheleh,verb,"to take from, take out of","transitive, location marker"
áwehpuleh,verb,"to rob from, take possessions from","transitive, Location marker"
áwéketce',noun,scale (for weighing something),
áyabáni',noun,"fire pit, smoker, grill",
ayáka',noun,"woods, backwoods, wilderness, forest",
ayákah,verb,"to appear, become visible, clear, revealed",intransitive
áyakamutceh,verb,to glue (also áyakamatce),"transitive, location marker"
áyakkúa',noun,"place where one descends: steps (down from a plane or truck, etc.), stairs",
áyakkuátce',noun,"place where one is let down: a bus stop, unloading zone, hoist, etc",
áyala,verb,(three or more) to arrive here,"intransitive, triplural"
áyãlheh,verb,"to be true to, succeed, prosper",stative
áyãlheka',noun,truth; an expression: really?,
áyalhlhetceh,verb,"to bring to an end, bring to a close, terminate",transitive
áyalhpe',noun,"handle (on an ax, etc.), hasp",
áyalhpésa',noun,"custom, tradition",
áyalhpeta,noun,"place where animals are penned to be fattened, place or office where annuities or support is given (also áyelhpeta)",
áyalhpua',noun,birthplace,
áyalhpusa',noun,"place where one toasts or roasts: oven, etc.",
